8.600000
3	4	
		KNN	DT	SVM	NaiveB	LogitR
DataSet	Method	AUC	AUC	AUC	AUC	AUC
ecoli3.mat	QSMOTE	0.906429	0.750714	0.886190	0.914048	0.889524
ecoli3.mat	B-SMOTE	0.844048	0.696905	0.817857	0.881190	0.805238
ecoli3.mat	ADAYSN	0.898810	0.707857	0.886190	0.890476	0.896190
ecoli3.mat	MSMOTE	0.857619	0.766667	0.891190	0.834048	0.860000
ecoli3.mat	MWMOTE	0.812857	0.779762	0.854048	0.864048	0.851429
ecoli3.mat	SMOTE	0.893810	0.778571	0.881190	0.879524	0.878571
		KNN	DT	SVM	NaiveB	LogitR
DataSet	Method	average	average	average	average	average
ecoli3.mat	QSMOTE	0.877612	0.892537	0.886567	0.868657	0.892537
ecoli3.mat	B-SMOTE	0.901493	0.886567	0.922388	0.877612	0.922388
ecoli3.mat	ADAYSN	0.886567	0.883582	0.886567	0.871642	0.904478
ecoli3.mat	MSMOTE	0.880597	0.898507	0.895522	0.883582	0.907463
ecoli3.mat	MWMOTE	0.755224	0.808955	0.761194	0.779104	0.779104
ecoli3.mat	SMOTE	0.877612	0.874627	0.877612	0.874627	0.895522
		KNN	DT	SVM	NaiveB	LogitR
DataSet	Method	TP	TP	TP	TP	TP
ecoli3.mat	QSMOTE	0.942857	0.571429	0.885714	0.971429	0.885714
ecoli3.mat	B-SMOTE	0.771429	0.457143	0.685714	0.885714	0.657143
ecoli3.mat	ADAYSN	0.914286	0.485714	0.885714	0.914286	0.885714
ecoli3.mat	MSMOTE	0.828571	0.600000	0.885714	0.771429	0.800000
ecoli3.mat	MWMOTE	0.885714	0.742857	0.971429	0.971429	0.942857
ecoli3.mat	SMOTE	0.914286	0.657143	0.885714	0.885714	0.857143
		KNN	DT	SVM	NaiveB	LogitR
DataSet	Method	FP	FP	FP	FP	FP
ecoli3.mat	QSMOTE	0.130000	0.070000	0.113333	0.143333	0.106667
ecoli3.mat	B-SMOTE	0.083333	0.063333	0.050000	0.123333	0.046667
ecoli3.mat	ADAYSN	0.116667	0.070000	0.113333	0.133333	0.093333
ecoli3.mat	MSMOTE	0.113333	0.066667	0.103333	0.103333	0.080000
ecoli3.mat	MWMOTE	0.260000	0.183333	0.263333	0.243333	0.240000
ecoli3.mat	SMOTE	0.126667	0.100000	0.123333	0.126667	0.100000
		KNN	DT	SVM	NaiveB	LogitR
DataSet	Method	Precision	Precision	Precision	Precision	Precision
ecoli3.mat	QSMOTE	0.463379	0.532253	0.485029	0.460131	0.504167
ecoli3.mat	B-SMOTE	0.513248	0.466032	0.607857	0.470888	0.580476
ecoli3.mat	ADAYSN	0.485565	0.504697	0.486292	0.455159	0.525874
ecoli3.mat	MSMOTE	0.456389	0.519084	0.512743	0.469231	0.536581
ecoli3.mat	MWMOTE	0.284092	0.327084	0.310390	0.329970	0.323321
ecoli3.mat	SMOTE	0.458976	0.458889	0.453214	0.457353	0.500521
		KNN	DT	SVM	NaiveB	LogitR
DataSet	Method	G_mean	G_mean	G_mean	G_mean	G_mean
ecoli3.mat	QSMOTE	0.904876	0.723207	0.882993	0.911900	0.886216
ecoli3.mat	B-SMOTE	0.834020	0.637874	0.796283	0.878375	0.759196
ecoli3.mat	ADAYSN	0.897898	0.668542	0.882682	0.889296	0.893118
ecoli3.mat	MSMOTE	0.848511	0.744830	0.887364	0.827407	0.851143
ecoli3.mat	MWMOTE	0.805657	0.772041	0.845073	0.856890	0.845055
ecoli3.mat	SMOTE	0.891253	0.768149	0.876140	0.877204	0.872759
		KNN	DT	SVM	NaiveB	LogitR
DataSet	Method	F_measure	F_measure	F_measure	F_measure	F_measure
ecoli3.mat	QSMOTE	0.619346	0.539048	0.622214	0.619404	0.636628
ecoli3.mat	B-SMOTE	0.612368	0.457143	0.640896	0.606621	0.608212
ecoli3.mat	ADAYSN	0.631532	0.487521	0.622405	0.604318	0.657647
ecoli3.mat	MSMOTE	0.582523	0.551038	0.642850	0.578333	0.637688
ecoli3.mat	MWMOTE	0.429658	0.448475	0.467421	0.489147	0.478254
ecoli3.mat	SMOTE	0.608730	0.534657	0.596809	0.598662	0.628091
